Watching for file changes with StatReloader
Watching for file changes with StatReloader
[23/Dec/2021 20:38:13] "GET /static/sound/Kommy_BasicAttack.wav HTTP/1.1" 200 200688
[23/Dec/2021 20:38:13] "GET /static/img/monster/monster-jelly_0.gif HTTP/1.1" 200 88200
[23/Dec/2021 20:38:13] "GET /static/img/favicon.png HTTP/1.1" 200 31591
[23/Dec/2021 20:38:15] "GET /static/json/weights.bin HTTP/1.1" 200 5897200
[23/Dec/2021 20:38:15] "GET /static/json/metadata.json HTTP/1.1" 200 343
[23/Dec/2021 20:38:17] "GET /static/json/OkModel/model.json HTTP/1.1" 200 1441
[23/Dec/2021 20:38:18] "GET /static/json/OkModel/weights.bin HTTP/1.1" 200 5897600
[23/Dec/2021 20:38:19] "GET /static/json/OkModel/metadata.json HTTP/1.1" 200 348
[23/Dec/2021 20:39:23] "GET /static/sound/inspiring-8-bit-563.mp3 HTTP/1.1" 200 7631098
[23/Dec/2021 20:41:40] "GET /result HTTP/1.1" 301 0
Unsafe redirect to URL with protocol 'fitness'
Bad Request: /result/
[23/Dec/2021 20:41:40] "GET /result/ HTTP/1.1" 400 66737
Not Found: /favicon.ico
[23/Dec/2021 20:41:40] "GET /favicon.ico HTTP/1.1" 404 3814
[23/Dec/2021 20:41:50] "GET /select/ HTTP/1.1" 200 8434
[23/Dec/2021 20:41:50] "GET /static/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
[23/Dec/2021 20:41:50] "GET /static/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
[23/Dec/2021 20:41:50] "GET /static/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
[23/Dec/2021 20:41:50] "GET /static/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
[23/Dec/2021 20:41:50] "GET /static/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
[23/Dec/2021 20:41:50] "GET /static/css/style.css HTTP/1.1" 200 43816
[23/Dec/2021 20:41:50] "GET /static/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
[23/Dec/2021 20:41:50] "GET /static/css/util.css HTTP/1.1" 200 83821
[23/Dec/2021 20:41:50] "GET /static/css/style_g1.css HTTP/1.1" 200 2972
[23/Dec/2021 20:41:50] "GET /static/js/main.js HTTP/1.1" 200 5049
[23/Dec/2021 20:41:50] "GET /static/img/select-back.png HTTP/1.1" 200 2815
[23/Dec/2021 20:41:50] "GET /static/img/logo.png HTTP/1.1" 200 16267
[23/Dec/2021 20:41:50] "GET /static/img/sound-on.png HTTP/1.1" 200 34288
[23/Dec/2021 20:41:50] "GET /static/img/fitness/push_up.gif HTTP/1.1" 200 160055
[23/Dec/2021 20:41:50] "GET /static/img/fitness/side_lunge.gif HTTP/1.1" 200 295703
[23/Dec/2021 20:41:50] "GET /static/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 200 92004
[23/Dec/2021 20:41:50] "GET /static/img/main-bg.png HTTP/1.1" 200 189097
[23/Dec/2021 20:41:50] "GET /static/font/shadow9.TTF HTTP/1.1" 200 489324
[23/Dec/2021 20:41:50] "GET /static/img/fitness/standing_knee_up.gif HTTP/1.1" 200 443097
[23/Dec/2021 20:41:50] "GET /static/img/fitness/step_forward_lunge.gif HTTP/1.1" 200 386780
[23/Dec/2021 20:41:55] "GET /player/ HTTP/1.1" 200 5235
[23/Dec/2021 20:41:57] "POST /play/ HTTP/1.1" 200 6069
[23/Dec/2021 20:41:57] "GET /static/css/style_SD.css HTTP/1.1" 200 3202
[23/Dec/2021 20:41:57] "GET /static/js/loading.js HTTP/1.1" 200 1550
[23/Dec/2021 20:41:57] "GET /static/js/health-bar.js HTTP/1.1" 200 909
[23/Dec/2021 20:41:57] "GET /static/js/monster.js HTTP/1.1" 200 1402
[23/Dec/2021 20:41:57] "GET /static/js/index.js HTTP/1.1" 200 2389
[23/Dec/2021 20:41:57] "GET /static/js/sideknee_model_player2.js HTTP/1.1" 200 12570
[23/Dec/2021 20:41:57] "GET /static/img/fitness/play-bg.png HTTP/1.1" 200 89914
[23/Dec/2021 20:41:57] "GET /static/font/shadow9.TTF HTTP/1.1" 200 489324
[23/Dec/2021 20:41:57] "GET /static/json/model.json HTTP/1.1" 200 1435
[23/Dec/2021 20:41:57] "GET /static/img/item/ironman_sm.png HTTP/1.1" 200 31881
[23/Dec/2021 20:41:57] "GET /static/img/fitness/loading.png HTTP/1.1" 200 5010
[23/Dec/2021 20:41:57] "GET /static/img/fitness/loading-pacman.gif HTTP/1.1" 200 35634
[23/Dec/2021 20:41:57] "GET /static/img/item/ironman_Hand.png HTTP/1.1" 200 17421
[23/Dec/2021 20:41:57] "GET /static/sound/Kommy_BasicAttack_Hit.wav HTTP/1.1" 200 110984
[23/Dec/2021 20:41:57] "GET /static/sound/Kommy_BasicAttack.wav HTTP/1.1" 200 200688
[23/Dec/2021 20:41:57] "GET /static/img/monster/monster-jelly_0.gif HTTP/1.1" 200 88200
[23/Dec/2021 20:41:57] "GET /static/img/favicon.png HTTP/1.1" 200 31591
[23/Dec/2021 20:41:58] "GET /static/json/weights.bin HTTP/1.1" 200 5897200
[23/Dec/2021 20:41:58] "GET /static/json/metadata.json HTTP/1.1" 200 343
[23/Dec/2021 20:41:59] "GET /static/json/OkModel/model.json HTTP/1.1" 200 1441
[23/Dec/2021 20:41:59] "GET /static/json/OkModel/weights.bin HTTP/1.1" 200 5897600
[23/Dec/2021 20:42:00] "GET /static/json/OkModel/metadata.json HTTP/1.1" 200 348
[23/Dec/2021 20:42:57] "GET /static/sound/upright-piano-arcade-instrumental-mix-1342.mp3 HTTP/1.1" 200 2617344
[23/Dec/2021 20:43:07] "GET /static/sound/inspiring-8-bit-563.mp3 HTTP/1.1" 200 7631098
[23/Dec/2021 20:45:11] "GET / HTTP/1.1" 200 18397
[23/Dec/2021 20:45:11] "GET /static/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
[23/Dec/2021 20:45:11] "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
[23/Dec/2021 20:45:11] "GET /static/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
[23/Dec/2021 20:45:11] "GET /static/vendor/php-email-form/validate.js HTTP/1.1" 200 2527
[23/Dec/2021 20:45:11] "GET /static/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135617
[23/Dec/2021 20:45:11] "GET /static/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 102988
[23/Dec/2021 20:45:11] "GET /static/vendor/remixicon/remixicon.woff2?t=1590207869815 HTTP/1.1" 200 125268
[23/Dec/2021 20:45:11] "GET /static/js/main.js HTTP/1.1" 200 5049
[23/Dec/2021 20:45:11] "GET /get_rank/ HTTP/1.1" 200 561
[23/Dec/2021 20:45:13] "GET /static/img/hero-bg.mp4 HTTP/1.1" 200 5841045
[23/Dec/2021 20:51:12] "GET / HTTP/1.1" 200 17645
[23/Dec/2021 20:51:12] "GET /static/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
[23/Dec/2021 20:51:12] "GET /static/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
[23/Dec/2021 20:51:12] "GET /static/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
[23/Dec/2021 20:51:12] "GET /static/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
[23/Dec/2021 20:51:12] "GET /static/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
[23/Dec/2021 20:51:12] "GET /static/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
[23/Dec/2021 20:51:12] "GET /static/css/style.css HTTP/1.1" 200 43816
[23/Dec/2021 20:51:12] "GET /static/css/util.css HTTP/1.1" 200 83821
[23/Dec/2021 20:51:12] "GET /static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
[23/Dec/2021 20:51:12] "GET /static/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 56222
[23/Dec/2021 20:51:12] "GET /static/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
[23/Dec/2021 20:51:12] "GET /static/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 135617
[23/Dec/2021 20:51:12] "GET /static/vendor/php-email-form/validate.js HTTP/1.1" 200 2527
[23/Dec/2021 20:51:12] "GET /static/js/main.js HTTP/1.1" 200 5049
[23/Dec/2021 20:51:12] "GET /static/img/logo.png HTTP/1.1" 200 16267
